,path,date,category,FOV,sample,roin,label,iter,left_bgd,right_bgd,ratio_bgd,sigma_bgd,left_width,right_width
3,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220504\reference\Escan\Escan1\processref1\crystals\roi1.txt,2022-05-04,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220504\reference\Escan\Escan1,1,1,std_dose,,0.0244682039269154,0.03412173741348651,1.3945338004949384,0.22042913547951593,3.5322300675464233,1.8628842994754216
63,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220504\ZF_1MPF_Alba14_3\Escan_night\Escan_tomo05\process5\adult background test\roi1.txt,2022-05-04,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220504\ZF_1MPF_Alba14_3\Escan_night\Escan_tomo05,4,1,std_dose,,0.08420297527437079,0.06673304146221812,0.7925259320679839,0.20009411686960432,3.5322300675464073,3.5322299883866815
64,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220504\ZF_1MPF_Alba14_3\Escan_night\Escan_tomo05\process5\adult background test\roi2.txt,2022-05-04,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220504\ZF_1MPF_Alba14_3\Escan_night\Escan_tomo05,4,2,std_dose,,0.1574682351088697,0.1113316471518449,0.7070101920865051,0.4154950843780404,3.5322300675464233,3.5322300675464233
65,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220504\ZF_1MPF_Alba14_3\Escan_night\Escan_tomo05\process5\adult background test\roi3.txt,2022-05-04,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220504\ZF_1MPF_Alba14_3\Escan_night\Escan_tomo05,4,3,std_dose,,0.2085172561678208,0.16218370009743188,0.7777950999264142,0.6460633406908167,2.8999148957351264,3.210208216147898
66,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220504\ZF_1MPF_Alba14_3\Escan_night\Escan_tomo05\process5\adult background test\roi4.txt,2022-05-04,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220504\ZF_1MPF_Alba14_3\Escan_night\Escan_tomo05,4,4,std_dose,,0.22199157670613134,0.1470161167655505,0.6622598881766038,0.7461637659897226,2.9747428207603703,3.5322300675464233
178,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo31\process31\crystals\roi1.txt,2022-05-06,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo31,10,1,std_dose,,0.29509105314980477,0.2638145816423496,0.8940107767632742,0.3707012838655531,3.5322300675464233,3.372783057595847
179,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo31\process31\crystals\roi2.txt,2022-05-06,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo31,10,2,std_dose,,0.3098715235364792,0.23504585970721725,0.758526814676944,0.5120406382202205,2.8994275089550405,2.8488887785150863
180,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo31\process31\crystals\roi3.txt,2022-05-06,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo31,10,3,std_dose,,0.04506488327387598,0.05280064881548485,1.1716583951764783,0.05672591004995947,2.7866727657738055,1.9466313450285633
192,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo26\process26\crystals\roi5.txt,2022-05-06,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo26,12,5,std_dose,,0.08219549175666668,0.06677649603630237,0.8124106883378587,0.2453471902492343,3.53223006754624,3.532230067506631
205,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo27\process27\crystals\roi1.txt,2022-05-06,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo27,14,1,std_dose,,0.205269816413303,0.1788073288683717,0.8710843707695919,0.5656306278472505,3.5322300675464198,2.1825984269940553
206,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo27\process27\crystals\roi2.txt,2022-05-06,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo27,14,2,std_dose,,0.3674779481790521,0.4335282820503147,1.1797395849153915,0.6938091218247227,2.6660706781097034,1.769421973724327
207,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo27\process27\crystals\roi3.txt,2022-05-06,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo27,14,3,std_dose,,0.10087067021715762,0.09439457516017352,0.9357980368025497,0.24634591505310888,3.5322300675464233,3.5322300674441127
208,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo33\process33\crystals\roi1.txt,2022-05-06,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo33,15,1,std_dose,,0.24047595898844865,0.2952785838813463,1.2278923228892504,0.41215751322563265,2.3715956201690114,1.8143297593538612
209,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo33\process33\crystals\roi2.txt,2022-05-06,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo33,15,2,std_dose,,0.2750145789517192,0.35541771794734955,1.2923595516357904,0.6045695407082325,2.5280705789909415,2.274982268516837
210,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo33\process33\crystals\roi3.txt,2022-05-06,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo33,15,3,std_dose,,0.24515714262080918,0.3659577741037449,1.4927477543241772,0.35797256635493546,0.8401118931943996,2.108174869933477
211,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo33\process33\crystals\roi4.txt,2022-05-06,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo33,15,4,std_dose,,0.06779034445575463,0.06126216386618552,0.9037004363677497,0.20504964018822147,3.5322300587546365,3.5322300675464233
246,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo32\process32\crystals\roi1.txt,2022-05-06,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo32,18,1,std_dose,,0.10717691607462171,0.11247913256472902,1.0494716277002751,0.224454258177195,3.532230067479028,2.014194606680641
247,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo32\process32\crystals\roi2.txt,2022-05-06,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo32,18,2,std_dose,,0.10534774463509294,0.07939625631761288,0.7536588143640692,0.3355217913134604,3.2021034286265784,3.461349751167265
248,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo32\process32\crystals\roi3.txt,2022-05-06,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo32,18,3,std_dose,,0.055628107557278955,0.04780891651286129,0.8594381260163052,0.20644711868822602,3.5322300675464233,3.5322300675183174
249,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo25\process25\crystals\roi1.txt,2022-05-06,crystal,\\isi.storwis.weizmann.ac.il\Labs\dvirg\zoharba\ALBA May 2022\20220506\2WPF_Alba8_3\Escan\Escan_tomo25,19,1,std_dose,,0.36115020567536216,0.3480606473901571,0.9637559162932575,0.45831633151728,2.176343731234075,2.2804337317806227
