Slice	Mean
1	0.424118
2	0.423604
3	0.420584
4	0.419834
5	0.418552
6	0.423385
7	0.421764
8	0.414042
9	0.414493
10	0.420246
11	0.414442
12	0.411381
13	0.412566
14	0.407243
15	0.413576
16	0.399015
17	0.416415
18	0.411622
19	0.407996
20	0.412437
21	0.410121
22	0.417119
23	0.411257
24	0.409638
25	0.416329
26	0.419104
27	0.420414
28	0.420428
29	0.420995
30	0.425402
31	0.432766
32	0.441445
33	0.465024
34	0.510130
35	0.535109
36	0.506590
37	0.475872
38	0.471628
39	0.479304
40	0.487817
41	0.481309
42	0.474416
43	0.452596
44	0.439078
45	0.447429
46	0.445092
47	0.471719
48	0.462719
49	0.471835
50	0.480837
51	0.512210
52	0.502604
53	0.511958
54	0.547467
55	0.570967
56	0.610478
57	0.636702
58	0.657763
59	0.683119
60	0.677708
61	0.696544
62	0.705595
63	0.718895
64	0.738723
65	0.740348
66	0.744194
67	0.739626
68	0.760233
69	0.754751
70	0.747663
71	0.777823
72	0.754910
73	0.760649
74	0.752170
75	0.761393
76	0.756454
77	0.763423
78	0.762650
79	0.753283
80	0.746864
81	0.750443
82	0.754302
83	0.758850
84	0.744620
85	0.751554
86	0.685341
87	0.754353
88	0.743007
89	0.743852
90	0.747242
91	0.732600
92	0.747947
93	0.740616
94	0.724188
95	0.730855
96	0.749266
97	0.732309
98	0.724779
99	0.710219
100	0.721550
101	0.708879
102	0.704661
103	0.720297
104	0.706873
105	0.685447
106	0.697937
107	0.699420
108	0.692748
109	0.689041
110	0.683942
111	0.683053
112	0.686354
113	0.673926
114	0.678221
115	0.654777
116	0.673850
117	0.675233
118	0.667444
119	0.659741
120	0.652199
121	0.653191
122	0.645986
123	0.653733
124	0.641088
125	0.646976
126	0.644924
127	0.651553
128	0.636322
129	0.636480
130	0.634174
131	0.630234
132	0.632863
133	0.628802
134	0.615652
135	0.621988
136	0.610833
137	0.601765
138	0.593032
139	0.591752
140	0.581269
141	0.577992
142	0.571587
143	0.562591
144	0.561134
145	0.565424
